confidence_score,citation_score,perplexity,hallucination_label
0.1323,0.3595,9.34,1
0.4965,0.7457,9.76,0
0.1803,0.2546,8.09,1
0.5564,0.6673,15.67,0
0.2328,0.5806,19.63,1
0.7337,0.1665,20.37,1
0.2833,0.6615,16.25,1
0.6339,0.593,19.1,0
0.161,0.834,29.59,1
0.7553,0.5975,1.88,0
0.6453,0.4472,12.97,1
0.1873,0.5748,27.0,1
0.5173,0.5655,12.31,1
0.4879,0.4932,7.07,1
0.7748,0.4525,21.27,0
0.5136,0.8292,39.84,0
0.8444,0.6791,4.43,0
0.4103,0.7057,25.97,1
0.8519,0.1069,6.93,1
0.5766,0.3995,12.13,1
0.6332,0.6004,19.88,0
0.126,0.3282,12.93,1
0.3479,0.9373,19.37,0
0.3693,0.9125,13.62,0
0.2294,0.4932,21.48,1
0.4408,0.4291,8.37,1
0.5147,0.9441,19.2,0
0.7488,0.7482,12.93,0
0.5701,0.2828,10.75,1
0.6056,0.8266,6.0,0
0.6977,0.6661,5.31,0
0.5184,0.7159,14.88,0
0.2153,0.3476,7.42,1
0.2152,0.7831,5.12,1
0.7698,0.6017,30.67,0
0.5512,0.4771,11.83,1
0.7309,0.5581,10.61,0
0.6941,0.7143,3.36,0
0.3353,0.4512,14.27,1
0.1552,0.8645,22.15,1
0.5828,0.6945,14.74,0
0.6524,0.2413,28.21,1
0.5219,0.5963,23.35,0
0.4164,0.7925,10.26,0
0.2814,0.9797,12.97,1
0.6238,0.7629,23.09,0
0.7866,0.201,3.61,1
0.4899,0.4503,9.39,1
0.5487,0.6591,13.53,0
0.8125,0.4324,21.96,0
0.5054,0.7036,20.26,0
0.1572,0.6987,8.93,1
0.5487,0.687,21.21,0
0.4778,0.3463,35.74,1
0.5308,0.9331,20.48,0
0.3902,0.7943,13.13,0
0.1527,0.8163,19.8,1
0.7623,0.5456,7.13,0
0.7884,0.8097,3.34,0
0.6692,0.5363,19.6,0
0.1115,0.6153,20.16,1
0.4926,0.8208,15.23,0
0.3981,0.7065,16.82,1
0.4762,0.5364,19.96,1
0.2481,0.5665,17.72,1
0.4142,0.5442,15.9,1
0.3509,0.4911,17.58,1
0.4182,0.78,10.92,0
0.7764,0.7314,1.78,0
0.5076,0.8627,8.97,0
0.3538,0.2881,24.11,1
0.6196,0.8441,9.36,0
0.5557,0.8155,27.52,0
0.2623,0.7033,13.95,1
0.2262,0.5844,9.66,1
0.6446,0.8821,17.04,0
0.2458,0.7147,22.35,1
0.4239,0.2039,27.73,1
0.4241,0.1119,27.54,1
0.1824,0.794,3.98,1
0.0236,0.3484,10.89,1
0.6686,0.7109,11.68,0
0.2483,0.9296,12.75,1
0.3932,0.6108,28.03,1
0.2095,0.4758,17.66,1
0.3629,0.7242,8.8,1
0.5353,0.4162,10.07,1
0.5129,0.6339,8.72,0
0.3304,0.8637,6.0,1
0.3214,0.4678,13.74,1
0.3065,0.6756,19.6,1
0.5353,0.4126,12.48,1
0.3526,0.9794,3.93,0
0.3972,0.6423,16.13,1
0.5853,0.0962,16.38,1
0.5275,0.4985,4.34,1
0.5479,0.8003,13.29,0
0.4835,0.6025,10.11,1
0.3981,0.9103,8.85,0
0.5663,0.4449,13.2,1
0.2941,0.9058,17.64,1
0.3694,0.8701,16.45,0
0.2606,0.679,10.81,1
0.3433,0.9162,8.15,0
0.2789,0.6759,5.21,1
0.8044,0.2961,9.09,1
0.408,0.1828,12.71,1
0.424,0.4697,31.13,1
0.4438,0.3951,24.75,1
0.6332,0.6649,8.84,0
0.8784,0.5857,9.55,0
0.5165,0.3654,6.88,1
0.2411,0.2785,26.32,1
0.7857,0.6111,29.76,0
0.8385,0.6216,19.25,0
0.5907,0.816,10.91,0
0.5871,0.808,13.29,0
0.7488,0.603,6.51,0
0.3089,0.4017,12.66,1
0.2259,0.825,5.89,1
0.528,0.6482,7.81,0
0.2233,0.3481,7.6,1
0.1947,0.4673,21.77,1
0.6825,0.8852,9.08,0
0.339,0.3051,8.61,1
0.7389,0.5493,3.42,0
0.0627,0.1816,8.6,1
0.5933,0.7392,3.64,0
0.8295,0.2123,16.41,1
0.8471,0.4304,35.59,0
0.3849,0.5767,15.95,1
0.9175,0.5888,11.61,0
0.4704,0.7565,19.57,0
0.6507,0.6142,12.67,0
0.5098,0.7669,15.19,0
0.3831,0.8224,34.84,0
0.886,0.4957,18.15,0
0.6095,0.7178,6.07,0
0.4618,0.6611,16.69,0
0.9356,0.2211,20.36,1
0.07,0.5387,23.67,1
0.6655,0.6268,18.54,0
0.5645,0.5281,11.84,1
0.7002,0.4125,15.92,1
0.8543,0.2114,8.22,1
0.7161,0.2293,20.69,1
0.6893,0.9123,22.37,0
0.5024,0.4395,7.4,1
0.5275,0.8219,3.2,0
0.515,0.8619,2.67,0
0.0971,0.7111,14.83,1
0.2839,0.6972,21.88,1
0.3623,0.3451,10.18,1
0.3166,0.7969,12.88,1
0.8043,0.4942,14.04,0
0.5567,0.277,13.85,1
0.8256,0.7818,9.13,0
0.2883,0.7586,6.12,1
0.5199,0.6914,14.67,0
0.6308,0.6252,15.08,0
0.3128,0.873,23.55,1
0.1874,0.3399,14.96,1
0.8827,0.4436,20.11,0
0.2875,0.4802,14.51,1
0.3883,0.4014,24.44,1
0.1682,0.6484,5.26,1
0.585,0.6985,12.09,0
0.5793,0.6113,13.38,0
0.274,0.3541,20.69,1
0.4586,0.3331,10.6,1
0.2773,0.4474,14.93,1
0.5626,0.9126,6.02,0
0.5179,0.663,9.72,0
0.758,0.1541,8.62,1
0.5868,0.535,7.91,0
0.3625,0.4122,7.81,1
